dstArcSec,name,ra,dec,objid,nuv_mag,nuv_magerr,nuv_flux,minPhotoObsDate,maxPhotoObsDate,fexptime,nexptime,tilename,tilenum
1.770985388,HD_129333,219.7499358,64.29136334,6.37436E+18,13.23334,0.004819816,18478.3,3/13/04 17:39,3/13/04 17:41,109,109,AIS_98,50098
0.294597765,HD_129333,219.7510479,64.29157275,6.37436E+18,13.44603,0.006919589,15191.1,5/7/04 1:19,5/7/04 1:21,87.05,87.05,AIS_98,50098
2.315550871,HD_129333,219.749775,64.29120348,3.08011E+18,12.90546,0.001182094,24992.8,2/27/06 15:22,2/27/06 15:48,1537.35,1537.35,GI2_007012_S_143907p641712,22006
2.02367867,HD_129333,219.7502916,64.29112645,3.08011E+18,12.92042,0.001170221,24650.91,2/28/06 1:14,2/28/06 1:41,1619.3,1619.35,GI2_007012_S_143907p641712,22006
2.007527076,HD_129333,219.7504428,64.29110165,3.08011E+18,12.88375,0.001124477,25497.69,2/28/06 9:27,2/28/06 9:55,1669.95,1669.95,GI2_007012_S_143907p641712,22006
1.901198766,HD_129333,219.7505912,64.29111205,3.08011E+18,12.84742,0.00110205,26365.26,3/1/06 0:14,3/1/06 0:42,1680,1680,GI2_007012_S_143907p641712,22006
2.303399073,HD_129333,219.7497647,64.29121403,3.08011E+18,12.89717,0.001123514,25184.48,3/1/06 23:15,3/1/06 23:43,1684.1,1684.1,GI2_007012_S_143907p641712,22006
1.278299264,HD_129333,219.7514293,64.2913525,3.08011E+18,12.84848,0.001260679,26339.57,4/12/06 19:27,4/12/06 19:51,0,1457.25,GI2_007012_S_143907p641712,22006
0.994719258,HD_129333,219.7511719,64.29137333,3.08011E+18,12.84304,0.001260471,26471.79,4/12/06 21:05,4/12/06 21:30,0,1457.2,GI2_007012_S_143907p641712,22006
2.186527085,HD_129333,219.7501132,64.29112032,3.08011E+18,12.86972,0.001247098,25829.21,4/13/06 0:23,4/13/06 0:47,0,1466.05,GI2_007012_S_143907p641712,22006
1.430315403,HD_129333,219.7509493,64.29122629,3.08011E+18,12.88588,0.001292508,25447.75,4/13/06 3:40,4/13/06 4:04,0,1461.05,GI2_007012_S_143907p641712,22006
1.700291563,HD_129333,219.7506417,64.29116407,3.08011E+18,12.90451,0.001305039,25014.63,4/13/06 5:19,4/13/06 5:43,0,1464,GI2_007012_S_143907p641712,22006
0.999724019,HD_129333,219.7514399,64.29177152,3.08011E+18,12.93081,0.001375092,24416.11,6/8/06 12:23,6/8/06 12:43,0,1224,GI2_007012_S_143907p641712,22006
0.864155494,HD_129333,219.7513806,64.29174124,3.08011E+18,12.93575,0.001361268,24305.31,6/8/06 14:01,6/8/06 14:22,0,1220.15,GI2_007012_S_143907p641712,22006
0.983211966,HD_129333,219.7514985,64.29153962,3.08011E+18,12.91898,0.001374273,24683.61,6/8/06 15:40,6/8/06 16:00,0,1223.15,GI2_007012_S_143907p641712,22006
1.239423648,HD_129333,219.750849,64.2919666,3.08011E+18,12.96222,0.001384117,23719.88,5/29/07 20:19,5/29/07 20:39,1195,1195,GI2_007012_S_143907p641712,22006
1.861702869,HD_129333,219.7501417,64.29202241,3.08011E+18,12.95677,0.00135916,23839.28,5/31/07 5:11,5/31/07 5:32,1261.05,1261.05,GI2_007012_S_143907p641712,22006
0.923418723,HD_129333,219.7514029,64.29148881,3.08011E+18,12.95036,0.001381331,23980.34,5/31/07 6:50,5/31/07 7:11,1251.2,1251.2,GI2_007012_S_143907p641712,22006
0.606189212,HD_129333,219.7512823,64.29164967,3.08011E+18,12.93086,0.001378668,24414.88,5/31/07 8:29,5/31/07 8:49,1240.5,1240.5,GI2_007012_S_143907p641712,22006
1.239725349,HD_129333,219.7509286,64.29196713,3.08011E+18,12.90651,0.001314053,24968.59,5/31/07 16:42,5/31/07 17:03,1286.1,1286.1,GI2_007012_S_143907p641712,22006
1.145187403,HD_129333,219.7510215,64.29193664,3.08011E+18,12.90664,0.001327659,24965.64,5/31/07 18:20,5/31/07 18:42,1296,1296,GI2_007012_S_143907p641712,22006
