#Table: III/159A/catalog.dat (cdsarc.u-strasbg.fr)
#---------------------------------------------------------------------------------------------------------------------------------------------------------------
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |r|      |      |       |
#          |    |      |      |      |      |      |        |        |          |          |                   |                 |P|      |      |       |
#          |    |      |      |      |     e|      |        |        |          |          |                   |                 |o|      |      |       |
#Star      |Nobs|  Smin|  Smax| Smean|_Smean|   sdS|    Wmin|   Wmean|Date1     |Date2     |SName              |   RAdeg    DEdeg|s|  Bmag|  Vmag|   ASCC|   HIP
#----------|----|------|------|------|------|------|--------|--------|----------|----------|-------------------|-----------------|-|------|------|-------|------
 +58 1199 |   2|0.1771|0.2191|0.1981|0.0297| 14.99|  1953.2|  1983.6|11/12/1978|12/12/1978|BD +58 1199        |144.2052 +57.9121|A|10.596| 9.938| 188231| 47174
 +51 1696 |   1|0.3134|0.3134|0.3134|0.0000|  0.00|   117.2|   117.2| 3/ 5/1978| 3/ 5/1978|BD +51 1696        |176.6498 +50.8832|A|10.460| 9.868| 256847| 57450
 +44 2051 |   1|0.5586|0.5586|0.5586|0.0000|  0.00|   134.1|   134.1| 2/ 5/1978| 2/ 5/1978|BD +44 2051        |166.3839 +43.5245|A|10.308| 8.800| 407596| 54211
 +32 0719 |   1|0.2919|0.2919|0.2919|0.0000|  0.00|   675.3|   675.3|15/11/1978|15/11/1978|BD +32 0719        |061.5470 +32.9529|A|10.957| 9.994| 560709| 19143
 +01 0306 |   1|0.1712|0.1712|0.1712|0.0000|  0.00|  1018.8|  1018.8|14/11/1978|14/11/1978|BD +01 0306        |025.4714 +02.7044|A| 8.783| 7.826|1096702|
 +01 0306 |   1|0.1736|0.1736|0.1736|0.0000|  0.00|  1220.5|  1220.5|14/11/1979|14/11/1979|BD +01 0306        |025.4714 +02.7044|A| 8.783| 7.826|1096702|
 +00 0873 |   1|0.1466|0.1466|0.1466|0.0000|  0.00|   202.2|   202.2|29/ 1/1979|29/ 1/1979|BD +00 0873        |072.7322 +00.5766|A|10.666|10.130|1104243| 22532
Coma   53 |   1|0.2303|0.2303|0.2303|0.0000|  0.00|  4048.2|  4048.2|26/ 1/1979|26/ 1/1979|Cl Melotte 111 53  |184.6508 +23.1201|A| 9.228| 8.679| 778470| 60025
Coma   58 |   1|0.2903|0.2903|0.2903|0.0000|  0.00|  3897.4|  3897.4|26/ 1/1979|26/ 1/1979|Cl Melotte 111 58  |184.7562 +24.8462|A| 9.326| 8.795| 778485| 60063
Coma   65 |   1|0.3016|0.3016|0.3016|0.0000|  0.00|  3058.8|  3058.8|26/ 1/1979|26/ 1/1979|Cl Melotte 111 65  |184.8682 +24.2843|A| 9.584| 9.004| 778497| 60097
